projectName,status,type,carpetArea,price,balcony,bathrooms,furnishedType,landmark,fullAddress,pincode,slug,possessionDate,listingType,floorPlanImage
Ashwini,UNDER_CONSTRUCTION,1BHK,123.0,11111111,1.0,1,UNFURNISHED,Babys school,Mumbai chembur,411017,luxury-ashwini-ashoknagar-chembur-mumbai-675058,2025-09-28 00:00:00,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757584023815-67012c27580e3e23.jpg
Ashwini,UNDER_CONSTRUCTION,2BHK,456.0,22222222,2.0,0,UNFURNISHED,Babys school,Mumbai chembur,411017,luxury-ashwini-ashoknagar-chembur-mumbai-675058,2025-09-28 00:00:00,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1756971672464-419924a4c5c28823.jpg
Pristine02,READY_TO_MOVE,2BHK,972.0,120000000,3.0,12,UNFURNISHED,Sai nagar ,"sr no 13 beside godrej, opposite to mca stadium, sai nagar, mamurdi, pune ",412101,pristine02-modelcolony-shivajinagar-pune-428955,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757011238520-ba6c9c4021ea321f.jpg
Pristine02,READY_TO_MOVE,2BHK,188.73,210000000,2.0,3,UNFURNISHED,Sai nagar ,"sr no 13 beside godrej, opposite to mca stadium, sai nagar, mamurdi, pune ",412101,pristine02-modelcolony-shivajinagar-pune-428955,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757011238542-2d39a8b06669406b.jpg
Gurukripa,UNDER_CONSTRUCTION,1BHK,426.57,13000000,1.0,1,UNFURNISHED,Sindhi Society,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",400071,gurukripa-ashoknagar-chembur-mumbai-086047,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391101-b4e4be9945434d29.jpg
Gurukripa,UNDER_CONSTRUCTION,1BHK,460.8,15000000,1.0,1,UNFURNISHED,Sindhi Society,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",400071,gurukripa-ashoknagar-chembur-mumbai-086047,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391141-e6c14becbdbd76a2.jpg
Gurukripa,UNDER_CONSTRUCTION,3BHK,893.08,29000000,2.0,3,UNFURNISHED,Sindhi Society,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",400071,gurukripa-ashoknagar-chembur-mumbai-086047,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391158-41329b8304cff17d.jpg
Gurukripa,UNDER_CONSTRUCTION,3BHK,918.27,29000000,2.0,3,UNFURNISHED,Sindhi Society,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",400071,gurukripa-ashoknagar-chembur-mumbai-086047,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391179-7f2bff943c2805a5.jpg
Gurukripa,UNDER_CONSTRUCTION,2BHK,804.6,26000000,2.0,2,UNFURNISHED,Sindhi Society,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",400071,gurukripa-ashoknagar-chembur-mumbai-086047,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391195-0e9c4aa442f80776.jpg
Gurukripa,UNDER_CONSTRUCTION,2BHK,1036.67,33000000,2.0,2,UNFURNISHED,Sindhi Society,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",400071,gurukripa-ashoknagar-chembur-mumbai-086047,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391210-70f3ad7351a09d4c.jpg
Hari om,UNDER_CONSTRUCTION,1BHK,443.37,13000000,1.0,1,UNFURNISHED,Sindhi Society,"Cts 300, plot no 37, opposite midtown 71, Sindhi Society, Chembur, Mumbai, Maharashtra 400071",400069,hari-om-ashoknagar-chembur-mumbai-650559,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757324645437-975f7a8ecca1de6d.jpg
Hari om,UNDER_CONSTRUCTION,2BHK,644.11,19000000,2.0,2,UNFURNISHED,Sindhi Society,"Cts 300, plot no 37, opposite midtown 71, Sindhi Society, Chembur, Mumbai, Maharashtra 400071",400069,hari-om-ashoknagar-chembur-mumbai-650559,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757324645448-970dda42c441c73b.jpg
Hari om,UNDER_CONSTRUCTION,3BHK,798.57,23000000,2.0,3,UNFURNISHED,Sindhi Society,"Cts 300, plot no 37, opposite midtown 71, Sindhi Society, Chembur, Mumbai, Maharashtra 400071",400069,hari-om-ashoknagar-chembur-mumbai-650559,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757324645450-abde5eb3211c0467.jpg
Om makarand heights,UNDER_CONSTRUCTION,1BHK,379.0,850000,1.0,1,UNFURNISHED,Hind high school,"104, Yashvant Seth Jadhav Marg, Gauri Shankar Wadi No. 2, Savitribai Phule Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400075",400075,om-makarand-heights-ashoknagar-chembur-mumbai-716337,2025-09-21 00:00:00,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757325712590-57c98e762d3e95c3.jpg
Om makarand heights,UNDER_CONSTRUCTION,1BHK,354.0,790000,1.0,1,UNFURNISHED,Hind high school,"104, Yashvant Seth Jadhav Marg, Gauri Shankar Wadi No. 2, Savitribai Phule Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400075",400075,om-makarand-heights-ashoknagar-chembur-mumbai-716337,2025-09-21 00:00:00,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757325712593-25cd2d9a5765be22.jpg
